pathway
"hemoglobin, mean corpuscular volume, reticulocyte count, hemolytic anemia"
"hemoglobin, mean corpuscular volume, segmented neutrophils, unspecified anemia"
"hemoglobin, mean corpuscular volume, segmented neutrophils, vitamin b12/folate deficiency anemia"
"hemoglobin, gender, hemoglobin, mean corpuscular volume, ferritin, ferritin, iron deficiency anemia"
"hemoglobin, mean corpuscular volume, reticulocyte count, aplastic anemia"
"hemoglobin, mean corpuscular volume, segmented neutrophils, unspecified anemia"
"hemoglobin, mean corpuscular volume, segmented neutrophils, unspecified anemia"
"hemoglobin, mean corpuscular volume, ferritin, total iron binding capacity, iron deficiency anemia"
"hemoglobin, mean corpuscular volume, segmented neutrophils, unspecified anemia"
"hemoglobin, mean corpuscular volume, reticulocyte count, aplastic anemia"
"hemoglobin, mean corpuscular volume, ferritin, total iron binding capacity, inconclusive diagnosis"
"hemoglobin, mean corpuscular volume, reticulocyte count, aplastic anemia"
"hemoglobin, mean corpuscular volume, segmented neutrophils, vitamin b12/folate deficiency anemia"
"hemoglobin, gender, mean corpuscular volume, ferritin, anemia of chronic disease"
"hemoglobin, mean corpuscular volume, reticulocyte count, aplastic anemia"
"hemoglobin, gender, hemoglobin, mean corpuscular volume, reticulocyte count, aplastic anemia"
"hemoglobin, no anemia"
"hemoglobin, gender, mean corpuscular volume, ferritin, total iron binding capacity, iron deficiency anemia"
"hemoglobin, mean corpuscular volume, segmented neutrophils, vitamin b12/folate deficiency anemia"
"hemoglobin, mean corpuscular volume, segmented neutrophils, vitamin b12/folate deficiency anemia"
"hemoglobin, mean corpuscular volume, segmented neutrophils, vitamin b12/folate deficiency anemia"
"hemoglobin, mean corpuscular volume, ferritin, iron deficiency anemia"
"hemoglobin, mean corpuscular volume, ferritin, anemia of chronic disease"
"hemoglobin, mean corpuscular volume, reticulocyte count, aplastic anemia"
"hemoglobin, mean corpuscular volume, ferritin, iron deficiency anemia"
"hemoglobin, mean corpuscular volume, segmented neutrophils, unspecified anemia"
"hemoglobin, mean corpuscular volume, segmented neutrophils, vitamin b12/folate deficiency anemia"
"hemoglobin, gender, mean corpuscular volume, reticulocyte count, aplastic anemia"
"hemoglobin, no anemia"
"hemoglobin, mean corpuscular volume, reticulocyte count, aplastic anemia"
"hemoglobin, mean corpuscular volume, reticulocyte count, hemolytic anemia"
"hemoglobin, mean corpuscular volume, segmented neutrophils, vitamin b12/folate deficiency anemia"
"hemoglobin, mean corpuscular volume, segmented neutrophils, vitamin b12/folate deficiency anemia"
"hemoglobin, gender, mean corpuscular volume, reticulocyte count, hemolytic anemia"
"hemoglobin, no anemia"
"hemoglobin, mean corpuscular volume, reticulocyte count, hemolytic anemia"
"hemoglobin, mean corpuscular volume, segmented neutrophils, unspecified anemia"
"hemoglobin, hemoglobin, hemoglobin, hemoglobin, no anemia"
"hemoglobin, mean corpuscular volume, segmented neutrophils, vitamin b12/folate deficiency anemia"
"hemoglobin, mean corpuscular volume, ferritin, iron deficiency anemia"
"hemoglobin, mean corpuscular volume, reticulocyte count, aplastic anemia"
"hemoglobin, mean corpuscular volume, ferritin, anemia of chronic disease"
"hemoglobin, mean corpuscular volume, ferritin, total iron binding capacity, iron deficiency anemia"
"hemoglobin, mean corpuscular volume, ferritin, total iron binding capacity, anemia of chronic disease"
"hemoglobin, mean corpuscular volume, ferritin, total iron binding capacity, iron deficiency anemia"
"hemoglobin, no anemia"
"hemoglobin, mean corpuscular volume, ferritin, inconclusive diagnosis"
"hemoglobin, no anemia"
"hemoglobin, mean corpuscular volume, ferritin, inconclusive diagnosis"
"hemoglobin, mean corpuscular volume, segmented neutrophils, unspecified anemia"
"hemoglobin, gender, mean corpuscular volume, reticulocyte count, hemolytic anemia"
"hemoglobin, gender, mean corpuscular volume, reticulocyte count, hemolytic anemia"
"hemoglobin, mean corpuscular volume, segmented neutrophils, vitamin b12/folate deficiency anemia"
"hemoglobin, no anemia"
"hemoglobin, mean corpuscular volume, reticulocyte count, inconclusive diagnosis"
"hemoglobin, mean corpuscular volume, segmented neutrophils, unspecified anemia"
"hemoglobin, mean corpuscular volume, ferritin, anemia of chronic disease"
"hemoglobin, mean corpuscular volume, ferritin, anemia of chronic disease"
"hemoglobin, mean corpuscular volume, reticulocyte count, hemolytic anemia"
"hemoglobin, mean corpuscular volume, ferritin, inconclusive diagnosis"
"hemoglobin, mean corpuscular volume, ferritin, anemia of chronic disease"
"hemoglobin, mean corpuscular volume, segmented neutrophils, vitamin b12/folate deficiency anemia"
"hemoglobin, no anemia"
"hemoglobin, gender, mean corpuscular volume, ferritin, total iron binding capacity, anemia of chronic disease"
"hemoglobin, mean corpuscular volume, ferritin, total iron binding capacity, anemia of chronic disease"
"hemoglobin, mean corpuscular volume, ferritin, total iron binding capacity, iron deficiency anemia"
"hemoglobin, mean corpuscular volume, segmented neutrophils, unspecified anemia"
"hemoglobin, gender, mean corpuscular volume, reticulocyte count, hemolytic anemia"
"hemoglobin, mean corpuscular volume, reticulocyte count, aplastic anemia"
"hemoglobin, mean corpuscular volume, reticulocyte count, aplastic anemia"
"hemoglobin, gender, hemoglobin, mean corpuscular volume, segmented neutrophils, vitamin b12/folate deficiency anemia"
"hemoglobin, mean corpuscular volume, reticulocyte count, hemolytic anemia"
"hemoglobin, mean corpuscular volume, reticulocyte count, hemolytic anemia"
"hemoglobin, mean corpuscular volume, segmented neutrophils, vitamin b12/folate deficiency anemia"
"hemoglobin, mean corpuscular volume, reticulocyte count, aplastic anemia"
"hemoglobin, mean corpuscular volume, reticulocyte count, hemolytic anemia"
"hemoglobin, gender, mean corpuscular volume, segmented neutrophils, vitamin b12/folate deficiency anemia"
"hemoglobin, mean corpuscular volume, ferritin, total iron binding capacity, anemia of chronic disease"
"hemoglobin, mean corpuscular volume, ferritin, total iron binding capacity, inconclusive diagnosis"
"hemoglobin, mean corpuscular volume, segmented neutrophils, vitamin b12/folate deficiency anemia"
"hemoglobin, mean corpuscular volume, reticulocyte count, aplastic anemia"
"hemoglobin, mean corpuscular volume, ferritin, total iron binding capacity, iron deficiency anemia"
"hemoglobin, mean corpuscular volume, reticulocyte count, inconclusive diagnosis"
"hemoglobin, mean corpuscular volume, segmented neutrophils, unspecified anemia"
"hemoglobin, mean corpuscular volume, reticulocyte count, hemolytic anemia"
"hemoglobin, no anemia"
"hemoglobin, mean corpuscular volume, ferritin, anemia of chronic disease"
"hemoglobin, mean corpuscular volume, reticulocyte count, hemolytic anemia"
"hemoglobin, mean corpuscular volume, reticulocyte count, hemolytic anemia"
"hemoglobin, mean corpuscular volume, ferritin, anemia of chronic disease"
"hemoglobin, no anemia"
"hemoglobin, mean corpuscular volume, reticulocyte count, aplastic anemia"
"hemoglobin, mean corpuscular volume, reticulocyte count, hemolytic anemia"
"hemoglobin, mean corpuscular volume, segmented neutrophils, unspecified anemia"
"hemoglobin, gender, mean corpuscular volume, reticulocyte count, hemolytic anemia"
"hemoglobin, mean corpuscular volume, ferritin, inconclusive diagnosis"
"hemoglobin, mean corpuscular volume, reticulocyte count, aplastic anemia"
"hemoglobin, no anemia"
"hemoglobin, mean corpuscular volume, reticulocyte count, hemolytic anemia"
"hemoglobin, gender, mean corpuscular volume, reticulocyte count, hemolytic anemia"
"hemoglobin, hemoglobin, no anemia"
"hemoglobin, no anemia"
"hemoglobin, gender, mean corpuscular volume, reticulocyte count, aplastic anemia"
"hemoglobin, mean corpuscular volume, ferritin, anemia of chronic disease"
"hemoglobin, mean corpuscular volume, reticulocyte count, hemolytic anemia"
"hemoglobin, gender, mean corpuscular volume, ferritin, anemia of chronic disease"
"hemoglobin, mean corpuscular volume, reticulocyte count, aplastic anemia"
